country,food_category,consumption,co2_emmission
Netherlands,Ğ¡Âó,70.17,13.38
Netherlands,´óÃ×,2.93,3.75
Netherlands,»Æ¶¹,0.12,0.05
Netherlands,¼á¹û,7.94,14.05
Kuwait,ÖíÈâ,0,0
Kuwait,¼ÒÇİ,53.61,57.59
Kuwait,Å£Èâ,13.03,402.08
Kuwait,ÑòÈâ,15.61,546.66
Kuwait,ÓãÈâ,11.99,19.14
Kuwait,¼¦µ°,12.6,11.57
Kuwait,Å£ÄÌ,157.66,224.57
Kuwait,Ğ¡Âó,96.76,18.45
Kuwait,´óÃ×,43.83,56.09
Kuwait,»Æ¶¹,0.06,0.03
Kuwait,¼á¹û,5.23,9.26
United Kingdom,ÖíÈâ,25.79,91.28
United Kingdom,¼ÒÇİ,31.55,33.89
United Kingdom,Å£Èâ,18.12,559.15
United Kingdom,ÑòÈâ,4.49,157.24
United Kingdom,ÓãÈâ,15.49,24.73
United Kingdom,¼¦µ°,11.08,10.18
United Kingdom,Å£ÄÌ,232.2,330.75
United Kingdom,Ğ¡Âó,98.63,18.81
United Kingdom,´óÃ×,6.39,8.18
United Kingdom,»Æ¶¹,0.05,0.02
United Kingdom,¼á¹û,4.18,7.4
Austria,ÖíÈâ,52.56,186.04
Austria,¼ÒÇİ,18.61,19.99
Austria,Å£Èâ,17.14,528.9
Austria,ÑòÈâ,1.16,40.62
Austria,ÓãÈâ,12.16,19.42
Austria,¼¦µ°,14.68,13.49
Austria,Å£ÄÌ,258.09,367.62
Austria,Ğ¡Âó,81.1,15.47
Austria,´óÃ×,3.7,4.73
Austria,»Æ¶¹,2.06,0.93
Austria,¼á¹û,7.88,13.95
Oman,ÖíÈâ,0.01,0.04
Oman,¼ÒÇİ,31.51,33.85
Oman,Å£Èâ,15.1,465.95
Oman,ÑòÈâ,12.87,450.71
Oman,ÓãÈâ,21.56,34.42
Oman,¼¦µ°,7.8,7.17
Oman,Å£ÄÌ,152.28,216.91
Oman,Ğ¡Âó,64.1,12.22
Oman,´óÃ×,56.55,72.37
Oman,»Æ¶¹,0.21,0.09
Oman,¼á¹û,1.68,2.97
Italy,ÖíÈâ,40.28,142.57
Italy,¼ÒÇİ,18.61,19.99
Italy,Å£Èâ,18.6,573.96
Italy,ÑòÈâ,0.92,32.22
Italy,ÓãÈâ,15.6,24.91
Italy,¼¦µ°,13.34,12.25
Italy,Å£ÄÌ,246.88,351.66
Italy,Ğ¡Âó,146.37,27.91
Italy,´óÃ×,5.74,7.35
Italy,»Æ¶¹,0.01,0
Italy,¼á¹û,7.63,13.51
Bahamas,ÖíÈâ,32.74,115.88
Bahamas,¼ÒÇİ,45.74,49.13
Bahamas,Å£Èâ,19.92,614.69
Bahamas,ÑòÈâ,5.22,182.8
Bahamas,ÓãÈâ,18.8,30.02
Bahamas,¼¦µ°,6.2,5.7
Bahamas,Å£ÄÌ,104.76,149.22
Bahamas,Ğ¡Âó,39.98,7.62
Bahamas,´óÃ×,23.97,30.67
Bahamas,»Æ¶¹,0.09,0.04
Bahamas,¼á¹û,4.03,7.13
Portugal,ÖíÈâ,37.91,134.18
Portugal,¼ÒÇİ,30.14,32.38
Portugal,Å£Èâ,16.45,507.61
Portugal,ÑòÈâ,2.38,83.35
Portugal,ÓãÈâ,45.39,72.47
Portugal,¼¦µ°,9.05,8.31
Portugal,Å£ÄÌ,205.04,292.06
Portugal,Ğ¡Âó,94.3,17.98
Portugal,´óÃ×,14.86,19.02
Portugal,»Æ¶¹,0.01,0
Portugal,¼á¹û,3.91,6.92
Malta,ÖíÈâ,34.24,121.19
Malta,¼ÒÇİ,26.4,28.36
Malta,Å£Èâ,19.22,593.09
Malta,ÑòÈâ,1.19,41.67
Malta,ÓãÈâ,24.58,39.25
Malta,¼¦µ°,11.64,10.69
Malta,Å£ÄÌ,190.06,270.72
Malta,Ğ¡Âó,139.58,26.62
Malta,´óÃ×,4.96,6.35
Malta,»Æ¶¹,0.05,0.02
Malta,¼á¹û,5.62,9.95
Armenia,ÖíÈâ,9.67,34.23
Armenia,¼ÒÇİ,13.35,14.34
Armenia,Å£Èâ,19.66,606.67
Armenia,ÑòÈâ,3.02,105.76
Armenia,ÓãÈâ,4.36,6.96
Armenia,¼¦µ°,11.69,10.74
Armenia,Å£ÄÌ,209.03,297.74
Armenia,Ğ¡Âó,130.6,24.91
Armenia,´óÃ×,3.18,4.07
Armenia,»Æ¶¹,0,0
Armenia,¼á¹û,2.55,4.51
Slovenia,ÖíÈâ,28.19,99.78
Slovenia,¼ÒÇİ,23.46,25.2
Slovenia,Å£Èâ,18.43,568.71
Slovenia,ÑòÈâ,0.79,27.67
Slovenia,ÓãÈâ,7.76,12.39
Slovenia,¼¦µ°,9.36,8.6
Slovenia,Å£ÄÌ,235.01,334.75
Slovenia,Ğ¡Âó,103.43,19.72
Slovenia,´óÃ×,3.95,5.05
Slovenia,»Æ¶¹,0.75,0.34
Slovenia,¼á¹û,5.28,9.35
Chile,ÖíÈâ,24.68,87.35
Chile,¼ÒÇİ,36.52,39.23
Chile,Å£Èâ,23.86,736.27
Chile,ÑòÈâ,0.42,14.71
