trade_date,open,high,low,close,volume,amount
2020/5/28,67.95,69.05,67.82,68.95,459.73,3415.8
2020/5/29,70.6,71.23,69.88,70.35,602.29,4573.3
2020/6/1,69.48,71,69.35,70.19,403.51,3068.1
2020/6/2,71.25,71.29,69.72,69.72,345.29,2613.1
2020/6/3,68.6,69.39,68.45,69.15,433.43,3159
2020/6/4,70.11,70.35,69.01,69.17,279.57,2031.8
2020/6/5,69,70.47,68.9,69.32,298.01,2144.5
2020/6/8,68.4,69.67,67.76,69.67,310.52,2248.8
2020/6/9,69.1,69.26,68.41,68.86,358.69,2623.6
2020/6/10,70.08,70.3,69.56,69.97,519.46,3868
2020/6/11,69.57,69.8,69.32,69.39,518.3,3928.5
2020/6/12,69.65,69.96,69.38,69.64,346.94,2642.7
2020/6/15,69.65,72.43,69.38,70.99,424.1,3170.9
2020/6/16,70.45,70.79,70,70.13,416.57,3143.4
2020/6/17,70.68,71.17,70.25,71.02,393.13,2983.9
2020/6/18,71.07,71.38,70.65,70.85,1105.82,8742.5
2020/6/19,70.5,70.71,70.16,70.38,610.51,4757.9
2020/6/22,71.1,73.32,70.79,72.4,474.16,3686.9
2020/6/23,72.89,73.8,72.1,73.5,530.36,4030.5
2020/6/24,73.05,73.48,71.51,72.37,371.38,2807.6
2020/6/28,72,72.07,71.48,72.07,338.71,2558.3
2020/6/29,72.39,72.8,71.82,72.16,377.89,2874.6
2020/6/30,71.03,71.03,70.3,70.5,490.93,3625
