Date,Open,High,Low,Close,Volume,Adj Close
2017/9/15,268.17,270.38,267.84,270.22,15334600,262.8
2017/9/16,270.24,276.67,269.5,276.57,23289400,268.98
2017/9/17,277.69,277.96,273.68,275.37,22659900,267.81
2017/9/20,276.08,283.78,275.85,283.23,23524200,275.46
2017/9/21,283.86,287.35,282.79,283.77,23859800,275.98
2017/9/22,282.71,287.98,282.41,287.75,20903200,279.85
2017/9/23,286.33,292.76,286,288.92,28075600,280.99
2017/9/24,292.1,293.53,290.55,292.32,23196000,284.3
2017/9/27,293.98,294.73,291.01,291.16,17244100,283.17
2017/9/28,291.77,291.77,275,286.86,36965800,278.99
2017/9/29,287.23,289.81,286,287.37,16773000,279.48
2017/9/30,289,290,281.25,283.75,24049700,275.96
2017/10/1,286.15,286.58,281.35,282.52,16005100,274.77
2017/10/4,281.6,282.9,277.77,278.64,15546500,270.99
2017/10/5,282,289.45,281.82,288.94,17927400,281.01
2017/10/6,289.59,291.99,285.26,289.19,23959600,281.25
2017/10/7,290.34,290.48,286.91,289.22,14585700,281.28
2017/10/8,291.71,294.5,290,294.07,23514400,286
2017/10/11,294.74,297.24,294.6,295.36,15276900,287.25
2017/10/12,295.41,299.5,292.49,298.54,19948000,290.35
2017/10/13,300.2,301.96,299.8,300.14,22503300,291.9
2017/10/14,301.69,302.47,300.4,302.31,15546300,294.01
2017/10/15,307.44,315,304.91,314.74,32935500,306.1
2017/10/18,318.47,319,314.29,318,39036100,309.27
2017/10/19,303.4,313.77,300.02,309.49,44028000,301
2017/10/20,309,314.25,306.87,310.53,25772300,302.01
2017/10/21,312.36,314.74,306.8,309.52,19695000,301.02
2017/10/22,309.07,310.04,306.3,307.47,13313500,299.03
2017/10/25,309.09,311.6,308.44,308.84,14016500,300.36
2017/10/26,306.87,309.74,305.65,308.05,14033200,299.59
2017/10/27,307.65,309.9,305.6,307.83,14250100,299.38
2017/10/28,307.95,308,300.9,305.24,19680400,296.86
2017/10/29,304.23,305.88,300.87,300.98,15375400,292.72
2017/11/1,302.22,305.6,302.2,304.18,15138900,295.83
2017/11/2,307,310.19,307,309.36,15497500,300.87
2017/11/3,311.37,312.88,308.53,312.8,18155300,304.21
2017/11/4,315.45,320.18,315.03,318.27,22946000,309.53
2017/11/5,317.99,319.57,316.75,317.13,12901900,308.43
2017/11/8,317.2,319.77,316.76,318.62,10062800,309.87
2017/11/9,321.05,321.3,314.5,316.08,13698000,307.4
2017/11/10,316.64,318.77,313.55,318.03,13722400,309.3
2017/11/11,315,318.4,314.25,316.65,12903000,307.96
2017/11/12,316,316.5,303.63,308.03,28423100,299.58
2017/11/15,308.46,310.54,306.27,307.04,14414500,298.61
2017/11/16,305.72,307.6,299.32,301.59,23487500,293.31
2017/11/17,301.2,303.99,297.76,300.5,17123200,292.25
2017/11/18,305.2,309.67,304.69,308.43,17660400,299.96
2017/11/19,307.97,308.4,305.24,306.73,13744400,298.31
2017/11/22,306.68,313.36,305.87,313.36,14038400,304.76
2017/11/23,310.45,311.75,306.56,308.73,18551700,300.26
2017/11/24,312,315.4,311.75,314.8,14775900,306.16
2017/11/26,313.74,317.7,312.94,315,8485200,306.35
2017/11/29,315.5,317.48,311.38,316.87,15920900,308.17
2017/11/30,313.54,314.36,310.87,311.15,17923500,302.61
2017/12/1,315.27,317.75,315,316.4,16491100,307.72
2017/12/2,317.53,319,314.89,318.15,16529900,309.42
2017/12/3,317.01,318.65,316.34,317.44,12217600,308.73
2017/12/6,318.64,322.33,318.42,320.15,16017200,311.36
2017/12/7,323.8,323.99,318.12,318.21,13980500,309.48
2017/12/8,319.63,321.02,317.11,321.01,11497700,312.2
2017/12/9,322.13,322.5,319.02,319.76,10505400,310.98
2017/12/10,319.65,321.05,318.6,320.56,9375400,311.76
2017/12/13,324.37,325.06,321,321.67,15707700,312.84
2017/12/14,321.73,322.54,319,320.29,12536000,311.5
2017/12/15,320,323,319.19,320.36,14904000,311.57
2017/12/16,321.09,322.61,320.1,321.25,11501100,312.43
2017/12/17,321.63,321.79,320.23,320.61,13818900,311.81
2017/12/20,321.6,323.25,318.23,322.21,13771800,313.37
2017/12/21,323,324.39,322.05,324.2,9155500,315.3
2017/12/22,324.36,325.72,323.55,325.16,9497200,316.24
2017/12/23,325,325.15,323.17,323.6,7969900,314.72
2017/12/27,322.85,325.44,321.52,324.68,8922000,315.77
2017/12/28,325.91,326.66,325.06,325.47,6283000,316.54
2017/12/29,326.22,326.45,325.1,325.29,5826400,316.36
2017/12/30,325.48,325.51,323.05,323.66,5624800,314.78
2017/12/31,322.95,323.48,321.31,322.56,6911000,313.71
2018/1/3,325.64,330.26,324.84,329.57,15897800,320.52
2018/1/4,332.44,332.5,328.15,331.29,11038600,322.2
2018/1/5,329.55,334.34,329.5,334,9125700,324.83
2018/1/6,334.72,335.25,332.9,333.73,10729600,324.57
2018/1/7,333.99,336.35,331.9,336.12,11140400,326.89
2018/1/10,338.83,343.23,337.17,342.45,16020000,333.05
2018/1/11,344.88,344.96,339.47,341.64,15861000,332.26
2018/1/12,343.25,344.43,342,344.42,10806800,334.97
2018/1/13,345.16,346.64,343.85,345.68,10599300,336.19
2018/1/14,345.89,348.48,344.44,348.48,11030000,338.92
2018/1/18,329.52,344.76,326,340.65,67178500,331.3
2018/1/19,348.35,348.6,336.88,338.84,40557600,329.54
2018/1/20,336.43,338.3,330.12,332.68,27313900,323.55
2018/1/21,333.77,334.88,326.63,326.72,26942900,317.75
2018/1/24,326.87,337.45,326.72,337.45,20524400,328.19
2018/1/25,336.33,341.44,334.57,341.4,19531000,332.03
2018/1/26,342.96,345.6,341.5,343.85,18102700,334.41
2018/1/27,343.78,344.69,342.83,343.21,10179500,333.79
2018/1/28,344.17,344.4,333.53,336.1,21144900,326.88
2018/1/31,335.8,340.04,334.3,339.32,13473100,330.01
2018/2/1,341.3,345.65,340.98,345.03,15236900,335.56
2018/2/2,344.45,345.25,343.55,344.32,9248400,334.87
2018/2/3,343.8,344.24,338.55,343.44,14064200,334.01
2018/2/4,343.64,346.7,343.51,346.5,11494300,336.99
2018/2/7,347.89,353.25,347.64,351.88,17322200,342.22
2018/2/8,353.68,355.52,352.15,355.2,13608600,345.45
2018/2/9,355.19,359,354.87,358.16,17240900,348.33
2018/2/10,357.39,360,348,354.54,33162500,344.81
2018/2/11,354.75,357.8,353.54,356.85,13127600,347.06
2018/2/14,356.79,359.48,356.71,359.18,11086300,349.32
2018/2/15,359.19,359.97,357.55,359.9,10149100,350.02
2018/2/16,360.8,364.9,360.5,363.13,17184200,353.16
2018/2/17,357.25,360.27,356.52,358.3,18949400,348.47
2018/2/18,358.71,359.5,349.52,350.56,29144900,340.94
2018/2/22,342.15,345.4,337.72,338.61,31162700,329.32
2018/2/23,338.77,344.64,338.61,342.62,23994800,333.22
2018/2/24,344.02,345.15,338.37,342.88,17853600,333.47
2018/2/25,345.26,348.43,344.8,348.16,13572100,338.6
2018/2/28,351.24,355.05,351.12,353.21,14395500,343.52
2018/3/1,355.47,355.72,347.68,349.31,16290600,339.72
2018/3/2,349.96,354.35,348.4,352.12,21521100,342.46
2018/3/3,357.19,359.79,355.92,359.56,17885300,349.69
2018/3/4,360.07,360.29,357.75,360,16188100,350.12
2018/3/7,361.4,361.67,351.31,355.36,19504400,345.61
2018/3/8,354.91,357.4,352.25,355.76,12725600,346
2018/3/9,354.69,354.76,350.6,352.47,16189500,342.8
2018/3/10,349.12,349.77,344.9,346.67,18126400,337.15
2018/3/11,345.33,352.32,345,351.99,16824300,342.33
2018/3/14,353.18,356.48,351.31,353.56,15569900,343.86
2018/3/15,342.1,347.84,340.1,345.43,25752900,335.95
2018/3/16,342,343,326.26,330.01,41500400,320.95
2018/3/17,336.83,339.61,330.66,334.64,23550800,325.46
2018/3/18,337.13,338.2,330,330.67,26900500,321.59
2018/3/21,335.99,339.74,335.26,339.3,14621500,329.99
2018/3/22,342.56,342.62,339.14,341.2,11640100,331.84
2018/3/23,339.28,340.22,335.95,339.19,13321300,329.88
2018/3/24,341.85,346,338.86,344.97,14454000,335.5
2018/3/25,348.07,352.06,347.02,351.54,16032500,341.89
2018/3/28,353.15,354.32,350.44,350.44,11048400,340.82
2018/3/29,347.66,350.96,346.06,350.96,12603600,341.33
2018/3/30,350.64,350.88,347.44,348.63,11764500,339.06
2018/3/31,346.36,349.8,346.06,348.51,9786400,338.94
2018/4/1,351.11,351.59,343.3,344.56,14952200,335.1
2018/4/4,344.31,344.6,338.4,341.19,16431600,331.83
2018/4/5,336.99,342.25,336,338.89,17240400,329.59
2018/4/6,341.22,343.9,337.14,338.04,14376400,328.76
2018/4/7,338.1,340.43,336.03,338.08,13337400,328.8
2018/4/8,339.92,340.15,333.95,335.06,13483400,325.86
2018/4/11,334.06,335.67,330.02,330.8,14248100,321.72
2018/4/12,330.49,333.73,330.2,332.4,15201400,323.28
2018/4/13,335.02,336.14,332.52,336.13,12365000,326.9
2018/4/14,334.8,336,332.06,332.42,10778600,323.3
2018/4/15,333.3,333.64,326.8,327.46,16200200,318.47
2018/4/18,326.1,332.23,320.16,331.85,21782100,322.74
2018/4/19,333.1,337.98,331.71,337.86,14977800,328.59
2018/4/20,343.51,345.75,341.5,342.41,25023800,333.01
2018/4/21,355,355.13,348.52,350.7,26921800,341.07
2018/4/25,350.34,353.75,350.3,353.01,9519500,343.32
2018/4/26,353.62,354.99,349.35,350.42,12100000,340.8
2018/4/27,352.24,352.35,347.1,350.15,12721900,340.54
2018/4/28,346.19,349.75,345.52,346.75,12891400,337.23
2018/4/29,346.78,353.95,346.67,350.13,35940900,340.52
2018/5/2,349.74,350.47,345.5,346.28,15811200,336.78
2018/5/3,347.99,349.89,345.62,348.2,11191000,338.64
2018/5/4,348.26,351.83,346.88,349.57,13901800,339.98
2018/5/5,348.4,350.95,346.05,346.75,11998900,337.23
2018/5/6,349.69,350,346.21,346.66,10004800,337.15
2018/5/9,347.86,349.2,346.53,347.6,7312400,338.06
2018/5/10,348.89,349.69,346.66,349.45,10074700,339.86
2018/5/11,349.02,350,345.24,347.23,12000000,337.7
2018/5/12,346.12,347.12,342.27,346.57,11500000,337.06
2018/5/13,345.66,346.25,340.35,340.5,11647000,331.15
2018/5/16,339.2,341.22,332.6,333.3,16063400,324.15
2018/5/17,332,336.14,330.73,336.14,16154800,326.91
2018/5/18,336.47,341.05,336,339.87,11956300,330.54
2018/5/19,342.08,342.41,338.67,340.53,9327500,331.18
2018/5/20,339.56,340.95,335.02,335.22,12070300,326.02
2018/5/23,329.97,335.98,329.42,334.4,13700000,325.22
2018/5/24,335.5,335.9,331.34,332.19,11497400,323.07
2018/5/25,336.78,338.56,332.85,336.78,10508000,327.54
2018/5/26,335.97,336.89,334.43,335,7948600,325.81
2018/5/27,334.8,337.63,334.31,337.41,7271400,328.15
2018/5/31,341.1,347.83,341,347.83,14919800,338.28
2018/6/1,348.87,352.13,344.65,345.51,19810100,336.03
2018/6/2,346.5,347.98,344.3,346.1,12099400,336.6
2018/6/3,343.18,345.33,342.01,343.44,11187500,334.01
2018/6/6,345.7,347.05,337.81,338.04,16497900,328.76
2018/6/7,338.17,338.22,331.9,332.04,18920900,322.93
2018/6/8,331.78,334.8,330.65,332.24,11918700,323.12
2018/6/9,333.25,333.67,330.75,331.49,9824600,322.39
2018/6/10,330.55,331.66,325.51,325.9,15498400,316.96
2018/6/13,326.6,328.31,325.07,326.6,11773500,317.64
2018/6/14,330,333.25,329.31,332.44,11948900,323.32
2018/6/15,329.75,330.3,324.88,326.75,14257000,317.78
2018/6/16,326.9,328.68,318.33,325.16,18235400,316.24
2018/6/17,328.99,329.25,319.36,320.26,21965000,311.47
2018/6/20,317.36,317.7,310.5,315.32,22880200,306.67
2018/6/21,316.68,325.8,315.2,325.3,17620800,316.37
2018/6/22,325.16,328.9,322.38,322.61,13949400,313.76
2018/6/23,318.94,331.69,318.12,331.23,19991400,322.14
2018/6/24,331.37,333.15,325.09,326.35,15707400,317.39
2018/6/27,327.59,333.9,327.25,332.04,12136200,322.93
2018/6/28,333.65,336.7,333.44,335.26,10510700,326.06
2018/6/29,336.04,336.37,331.88,334.04,12590900,324.87
2018/6/30,334.7,336.13,332.84,335.67,11534100,326.46
2018/7/1,335.95,343.5,334.2,343.26,15546900,333.84
2018/7/5,343,349.83,342.5,349.43,12680500,339.84
2018/7/6,348.95,354.1,346.71,351.76,15879500,342.11
2018/7/7,354.67,358,354,357.2,14273700,347.4
2018/7/8,353.34,360,352.2,359.71,17497400,349.84
2018/7/11,356.34,359.77,352.82,354,15809800,344.28
2018/7/12,353.53,357.68,348.62,353.75,16128900,344.04
2018/7/13,358.33,360,356.38,358.02,13987100,348.19
